# file...... Meter_611_C_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power.real,xfmr_meter_611_C_1:measured_power.real,xfmr_meter_611_C_2:measured_power.real,xfmr_meter_611_C_3:measured_power.real,xfmr_meter_611_C_4:measured_power.real,xfmr_meter_611_C_5:measured_power.real,house_meter_611_C_1:measured_power.real,house_meter_611_C_2:measured_power.real,house_meter_611_C_3:measured_power.real,house_meter_611_C_4:measured_power.real,house_meter_611_C_5:measured_power.real,house_meter_611_C_6:measured_power.real,house_meter_611_C_7:measured_power.real,house_meter_611_C_8:measured_power.real,house_meter_611_C_9:measured_power.real,house_meter_611_C_10:measured_power.real,house_meter_611_C_11:measured_power.real,house_meter_611_C_12:measured_power.real,house_meter_611_C_13:measured_power.real,house_meter_611_C_14:measured_power.real,house_meter_611_C_15:measured_power.real,house_meter_611_C_16:measured_power.real,house_meter_611_C_17:measured_power.real,house_meter_611_C_18:measured_power.real,house_meter_611_C_19:measured_power.real
2021-01-06 00:00:00 PST,5.0157e+004,1.4403e+003,7.1706e+003,5.7652e+003,1.8867e+004,1.6914e+004,2.4001e+002,2.4001e+002,1.2000e+002,2.0001e+002,1.6001e+002,1.6001e+002,1.6001e+002,1.6001e+002,4.8005e+002,3.2002e+002,5.2006e+002,4.4004e+002,6.8010e+002,5.6006e+002,3.4825e+003,6.8010e+002,3.6003e+002,4.0003e+002,3.6003e+002
2021-01-06 00:15:00 PST,4.8121e+004,2.3611e+003,4.7233e+003,8.3737e+003,7.9694e+003,2.4693e+004,2.0001e+002,1.6001e+002,1.6001e+002,1.6001e+002,2.8002e+002,1.6001e+002,1.1203e+003,1.2000e+002,7.2011e+002,4.4004e+002,6.4008e+002,2.8002e+002,4.8005e+002,6.8010e+002,8.0013e+002,6.8010e+002,5.6006e+002,3.6003e+002,6.0007e+002
2021-01-06 00:30:00 PST,4.8687e+004,2.8016e+003,4.0825e+003,8.6942e+003,7.8897e+003,2.5219e+004,2.8002e+002,2.4001e+002,1.2000e+002,2.8002e+002,2.0001e+002,1.2000e+002,1.3604e+003,2.0001e+002,4.4004e+002,9.2017e+002,5.6006e+002,3.2002e+002,3.2002e+002,4.8005e+002,5.6006e+002,4.8005e+002,7.2011e+002,4.8005e+002,4.8005e+002
2021-01-06 00:45:00 PST,4.4505e+004,2.9217e+003,3.5218e+003,7.0876e+003,7.8495e+003,2.3124e+004,2.4001e+002,2.0001e+002,1.3204e+003,4.0003e+002,2.4001e+002,1.2000e+002,1.6001e+002,2.4001e+002,2.4001e+002,4.4004e+002,2.8002e+002,6.8010e+002,5.6006e+002,4.0003e+002,4.4004e+002,4.8005e+002,4.4004e+002,4.0003e+002,1.0802e+003
2021-01-06 01:00:00 PST,5.1244e+004,7.7757e+003,4.2827e+003,9.0559e+003,7.1678e+003,2.2961e+004,1.6001e+002,7.6012e+002,3.2002e+002,2.4001e+002,1.0802e+003,2.4001e+002,4.7246e+003,2.4001e+002,7.2011e+002,3.2002e+002,3.2002e+002,6.8010e+002,4.4004e+002,5.2006e+002,6.8010e+002,6.0007e+002,3.6003e+002,3.6003e+002,6.8010e+002
2021-01-06 01:15:00 PST,5.3186e+004,6.8914e+003,5.5251e+003,7.0480e+003,7.7692e+003,2.5952e+004,1.6001e+002,1.2000e+002,2.8002e+002,2.4001e+002,1.6001e+002,2.4012e+003,3.2822e+003,2.4001e+002,6.8010e+002,4.8005e+002,5.6006e+002,2.0001e+002,4.4004e+002,1.8807e+003,7.2011e+002,5.6006e+002,6.0007e+002,4.8005e+002,6.8010e+002
2021-01-06 01:30:00 PST,4.8579e+004,7.7333e+003,4.0825e+003,5.6448e+003,1.3714e+004,1.7404e+004,1.2000e+002,1.0802e+003,8.0001e+001,1.6001e+002,2.0001e+002,2.0001e+002,3.3623e+003,2.5213e+003,6.4008e+002,6.8010e+002,5.6006e+002,2.4001e+002,3.6003e+002,4.8005e+002,6.4008e+002,4.8005e+002,6.4008e+002,5.6006e+002,4.8005e+002
2021-01-06 01:45:00 PST,4.7875e+004,7.2911e+003,5.2046e+003,4.3630e+003,6.2859e+003,2.4731e+004,2.0001e+002,9.6019e+002,1.6001e+002,2.4001e+002,2.4001e+002,3.0820e+003,2.0409e+003,3.6003e+002,4.8005e+002,6.4008e+002,4.0003e+002,6.0007e+002,1.8007e+003,2.4001e+002,4.4004e+002,6.0007e+002,2.8002e+002,2.4001e+002,1.6001e+002
2021-01-06 02:00:00 PST,5.7604e+004,1.4570e+004,3.8422e+003,7.2495e+003,7.3686e+003,2.4573e+004,3.6003e+002,9.2018e+002,1.2000e+002,2.8002e+002,8.0001e+001,7.6923e+003,2.6014e+003,2.4813e+003,3.2002e+002,3.6003e+002,3.6003e+002,6.8010e+002,6.4008e+002,3.6003e+002,5.2006e+002,6.0007e+002,2.0001e+002,3.6003e+002,4.8005e+002
2021-01-06 02:15:00 PST,5.8875e+004,1.3398e+004,5.1644e+003,5.9252e+003,1.0901e+004,2.3486e+004,2.0001e+002,1.3204e+003,2.0001e+002,1.2003e+003,2.4001e+002,6.4486e+003,2.5213e+003,1.2403e+003,6.4008e+002,4.4004e+002,4.8005e+002,1.6806e+003,2.4001e+002,6.4008e+002,6.0007e+002,4.4004e+002,6.0007e+002,5.6006e+002,6.8010e+002
2021-01-06 02:30:00 PST,4.8912e+004,1.0340e+004,3.4418e+003,6.6069e+003,7.6888e+003,2.0834e+004,1.6001e+002,1.4805e+003,2.4001e+002,2.0001e+002,2.0001e+002,2.7616e+003,2.8817e+003,2.4012e+003,6.4008e+002,5.2006e+002,4.8005e+002,1.6001e+002,2.8002e+002,5.2006e+002,3.6003e+002,4.8005e+002,6.8010e+002,1.7206e+003,4.0003e+002
2021-01-06 02:45:00 PST,5.2939e+004,1.1390e+004,6.2065e+003,5.4852e+003,5.4844e+003,2.4373e+004,1.2000e+002,1.4004e+003,2.0001e+002,2.4001e+002,2.0001e+002,5.0453e+003,3.9232e+003,2.4001e+002,6.4008e+002,1.6406e+003,3.6003e+002,4.8005e+002,5.6006e+002,3.6003e+002,4.0003e+002,1.7606e+003,1.7606e+003,1.6001e+002,2.0001e+002
